as a result	結果として
by the time	するまでには
in particular	特に、とりわけ
take over	を引き継ぐ
in addition	追加として、さらに
be filled with	で満たされている
even though	～だけれども、～であるのに
refrigerator	冷蔵庫
and so on	などなど
at most	多くとも、せいぜい
do me a favor	お願いをする
get along with	とうまくやっていく
get back	取り戻す
in spite of	にもかかわらず
keep in mind	を心に留めておく
on the way to	道の途中で
put down	置く
rely on	に頼る、を当てにする
run out of	を使い果たす
so far	これまでは
appeal to	に訴える
as well	同様に、その上
be good at	～が上手である
be responsible for	に対して責任がある
call off	を中止する
in case	万一に備えて
on average	平均して
on foot	歩いて
out of order	故障して
on purpose	故意に、わざと
stay away from	離れている
suffer from	で苦しむ、悩まされる
apologize	謝る、謝罪する
succeed in	に成功する
after all	結局
be popular with	に人気がある
be sick of	にうんざりしている
be unlikely to	起こりそうにない
catch up with	に追いつく
differ from	とは違って、との違い
in advance	前もって、事前に
in a hurry	急いで
participate in	に参加する
sooner or later	遅かれ早かれ
try on	試着する
similar to	に似ている
show off	見せびらかす
turn down	断る
fill out	書き込む
mostly	主に、ほとんど
dig	を掘る
muscle	筋肉
bite	を噛む、かじる
treat	を扱う、待遇する
rather	むしろ、どちらかといえば
apparently	明らかに
spend	を費やす、使う
discover	を発見する
discovery	発見
arrival	到着
degree	程度、度
achieve	を達成する、到達する
attitude	態度
explain	を説明する
establish	を設立する、創設する
tax	税金
belief	信念
demonstrate	実証する、証明する
ancient	古代の、大昔の
formal	形式の、形式的な
allow	を許可する、許す
article	記事
contain	を含む、が入っている
temperature	温度、気温
common	共通の、共同の
mean	意味する
hardly	ほとんどない
unable	できない
argument	議論、口論
ancestor	祖先、先祖
capital	資本、首都
disaster	災害、災難
height	高さ
ideal	理想
popularity	人気、流行
blow	吹く
decision	決定、結論
agent	代理人
praise	をほめる／賞賛
punish	を罰する、懲らしめる
chemical	化学物質／化学の
negative	否定的な
consist	成り立つ
criticize	を批判する
import	輸入する
promote	促進する
recover	回復する
release	解放する
translate	翻訳する、通訳する
warn	警告する
childhood	子供時代
thought	考え
accomplish	達成する
combine	組み合わせる
complain	不平を言う
favorite	お気に入りの
responsible	責任のある
tiny	小さな
look down on	を見下す
get rid of	を取り除く
instead of	～の代わりに
plenty of	たくさんの
stomach	胃
vision	未来像
expansion	拡大
occur	起こる
indeed	確かに
solution	解決策
ease	容易さ
elect	選出する
unit	単位
fact	事実
educational	教育的な
manner	方法
suffering	苦しみ
crucial	重要な
tear	裂く
govern	統治する
enforcement	施行
brain	脳
talented	才能のある
research	研究する
firm	しっかりした
community	地域社会
force	力
past	過去
right	正しい
impressive	印象的な
salary	給与
deal	扱う
prompt	迅速な
let A do	Aに～させる
vote	投票する
president	社長、大統領
range	範囲
vital	重要な
estate	不動産
responsibility	責任
unknown	未知の
grant	許可する
perceive	知覚する
especially	特に
client	顧客
mysterious	不可解な
steel	鋼鉄
concept	概念
nevertheless	それにもかかわらず
attribute	帰する
prevent	防ぐ
manufacturer	メーカー
effect	効果
million	百万
encounter	遭遇する
accuse	告発する
briefly	簡単に
so-called	いわゆる
global	世界の
according to	によると
lack	不足
essay	エッセイ
approach	近づく
bear	我慢する
natural	自然の
administration	行政
audience	聴衆
production	生産
qualify	資格を与える
intention	意図
previously	以前は
language	言語
fee	料金
nor	～も～もない
negotiation	交渉
automobile	自動車
dust	ほこり
extremely	非常に
echo	こだま
detailed	詳細な
maximum	最大の
pan	フライパン
improvement	改善
genius	天才
credit	信用
debt	借金
resource	資源
therapy	治療
glance	ちらりと見る
storage	保管
academic	学術的な
permit	許可する
concern	心配する
strain	緊張
role	役割
nowhere	どこにも
recent	最近の
mate	仲間
distinguish	区別する
sophisticated	洗練された
upset	動揺した
disturb	邪魔をする
invest	投資する
intense	激しい
retire	引退する
wildlife	野生生物
polite	丁寧な
entertain	楽しませる
competition	競争
inquiry	問い合わせ
period	期間
bind	縛る
certain	確実な
passenger	乗客
behavior	行動
meanwhile	一方で
earn	稼ぐ
enter	入る
complex	複雑な
moreover	さらに
structure	構造
annoy	悩ませる
direction	方向
influence	影響を与える
rapidly	急速に
detail	詳細
culture	文化
prior	前の
fire	解雇する／火事
assessment	評価
engaged	従事している
regret	後悔する
excuse	言い訳
court	裁判所
solve	解決する
threaten	脅かす
enable	可能にする
unfortunately	残念ながら
representation	表現
procedure	手順
expectation	期待
asset	資産
dump	捨てる
citizen	市民
occupation	職業
restore	修復する
significance	重要性
flow	流れる
failure	失敗
earnings	収入
disease	病気
peer	同僚
strategy	戦略
remarkable	素晴らしい
heel	踵
definitely	明らかに
ordinary	普通の
isolate	隔離する
competitive	競争力のある
progress	進歩する
typical	典型的な
compete	競争する
assault	暴行
conviction	有罪判決
terrible	ひどい
bill	請求書
pain	痛み
emphasize	強調する
weather	天気
immigrant	移民
interpret	解釈する
thick	厚い
merchant	商人
physics	物理学
trigger	引き金
status	地位
worth	価値のある
relation	関係
later	後で
political	政治的な
truth	真実
partly	部分的に
observe	観察する
stream	流れ
oppose	反対する
quite	かなり
conscious	意識的な
intend	意図する
operation	手術
recommend	推薦する
feature	特徴
consideration	考慮
diet	食事
horror	恐怖
population	人口
necessarily	必ずしも～ない
agree	同意する
whether	～かどうか
analysis	分析
conflict	紛争
extreme	極端な
wherever	どこでも
source	情報源
objective	目的
rural	田舎の
headline	見出し
analyst	分析者
sign	サイン
clue	手がかり
controversial	物議を醸す
realize	気づく
surround	取り囲む
commission	委員会
seek	探す
independent	独立した
proposed	提案された
international	国際的な
several	いくつかの
theory	理論
fellow	仲間
elderly	高齢の
extension	延長
proper	適切な
enhance	向上させる
beyond	～を超えて
hear from	～から連絡がある
due	期限の
existing	既存の
expand	拡大する
wrong	間違っている
rebel	反逆者
suffer	苦しむ
within	～以内
taste	味
democrat	民主主義者
personally	個人的に
throughout	全体を通して
preserve	保存する
intelligent	知的な
slide	滑る
popular	人気のある
murder	殺人
attend	出席する
constantly	常に
drift	漂流する
result	結果
priority	優先事項
joint	関節
viewer	視聴者
satellite	人工衛星
distant	遠い
delivery	配達
anxious	不安な
towards	～の方へ
employee	従業員
significant	重要な
particular	特定の
pick up	拾う
criticism	批判
appear	現れる
permission	許可
virus	ウイルス
deny	否定する
valuable	貴重な
comprehensive	包括的な
till	～まで
properly	適切に
vulnerable	脆弱な
directly	直接に
occupy	占める
curious	好奇心の強い
vary	変化する
stare	じっと見つめる
decade	10年間
armed	武装した
seem	～のように見える
fate	運命
convince	納得させる
criminal	犯罪者の
stable	安定した
naked	裸の
Jewish	ユダヤ人の
senate	上院
hide	隠す
recovery	回復
bond	結合
portrait	肖像画
intervention	介入
consistent	一貫した
investigator	調査官
normally	普通は
conclude	結論づける
well-known	有名な
development	開発
desire	願望
probably	おそらく
respond	対応する
involvement	関与
minister	大臣
patch	修繕
chairman	議長
ethnic	民族の
lap	ひざ
refer to	を参照する
repair	修理する
current	現在の
obviously	明らかに
ceiling	天井
philosopher	哲学者
suicide	自殺
social	社会的な
potential	可能性
sum	合計
draw	描く
rough	粗い
fundamental	基本的な
association	協会
yield	生産する
politician	政治家
department	部署
palm	手のひら
phenomenon	現象
admit	認める
critical	重要な
throat	喉
adapt	適応する
largely	主に
belong	所属する
attempt	試み
impress	感銘を与える
submit	提出する
bored	退屈な
electric	電気の
civilized	文明化された
combat	戦闘
destruction	破壊
ally	同盟する
similarly	同様に
complete	完全な
complicated	複雑な
mad	気が狂った
hate	嫌う
urban	都市の
reputation	評判
phase	段階
philosophy	哲学
shooting	撮影
include	含む
medium	媒体
contemporary	現代の
jury	陪審員
huge	巨大な
die	死ぬ
examine	調べる
element	要素
mainly	主に
success	成功
exist	存在する
gentle	優しい
occasion	機会
accompany	同伴する
virtually	事実上
withdraw	撤回する
leisure	余暇
representative	代表者
mass	大量の
honest	正直な
imply	暗示する
mixture	混合物
aware	気づいている
device	装置
deputy	代理
smell	臭い
overall	全体的な
custom	習慣
roll	転がる
exposure	露出
term	用語
industry	産業
otherwise	さもなければ
electronic	電子の
proud	誇りに思う
task	仕事
concentration	集中
debate	議論
suggest	提案する
derive	導き出す
lawn	芝生
compose	作曲する
react	反応する
proportion	比率
confident	自信のある
manufacturing	製造業
multiple	複数の
chest	胸
authority	権威
creature	生き物
wear	着る
swear	誓う
survival	生存
attractive	魅力的な
union	組合
prisoner	囚人
sight	視力
expose	暴露する
therefore	したがって
prosecutor	検察官
present	現在の
publication	出版物
dull	退屈な
aspect	側面
advice	助言
fair	公平な
via	経由で
mayor	市長
lose	失う
judgement	判断
observer	観察者
tongue	舌
defendant	被告
handle	扱う
component	構成要素
declare	宣言する
squeeze	絞る
maintain	維持する
passage	通路
bitter	苦い
whom	誰を
split	分割する
capable	できる
habit	習慣
concrete	具体的な
remaining	残りの
depend	依存する
dependent	依存している
so that	～するために
argue	主張する
consequence	結果
outcome	結果
heritage	遺産
ban	禁止する
master	主人
biological	生物学的な
voter	有権者
landscape	風景
moment	瞬間
occasionally	時々
practical	実際的な
wipe	拭く
tradition	伝統
affair	事件
reward	報酬
award	賞
purpose	目的
gather	収集する
respect	尊敬する
advertise	宣伝する
eventually	最終的に
approval	承認
reach	到達する
afraid	怖い
commercial	商業の
harmful	有害な
suggestion	提案
contrast	対比
coal	石炭
headquarters	本社
absorb	吸収する
proposal	提案
consumer	消費者
historic	歴史的な
pursue	追求する
immediate	即時の
knee	膝
apply	申し込む
existence	存在
dismiss	解雇する
regional	地域の
war	戦争
factor	要因
constant	一定の
encourage	励ます
prayer	祈り
forward	前方に
principle	原則
supporter	支持者
stimulate	刺激する
address	演説する
accept	受け入れる
increase	増やす
remind	思い出させる
proof	証拠
appropriate	適切な
deserve	当然の権利がある
establishment	設立
definition	定義
economic	経済的な
introduce	紹介する
convey	伝える
partnership	提携
attorney	弁護士
index	索引
circumstance	状況
conversation	会話
poet	詩人
craft	工芸
spill	こぼす
reject	拒否する
province	州
admission	入場料
consumption	消費
bishop	司教
fuel	燃料
guess	推測する
economy	経済
construct	建設する
assistance	援助
implement	実行する
peak	ピーク
sculpture	彫刻
various	様々な
symptom	症状
tribe	部族
agriculture	農業
dealer	ディーラー
unlike	～とは違って
invent	発明する
treaty	条約
trust	信頼する
instruction	指示
comedy	喜劇
absolutely	絶対に
alliance	同盟
law	法律
evil	邪悪な
chamber	部屋
suppose	仮定する
develop	開発する
remember	覚えている
entitle	権利を与える
significantly	著しく
confidence	自信
national	国家の
whenever	～する時はいつでも
rush	急ぐ
female	女性の
identity	アイデンティティ
independence	独立
match	一致させる
fix	修理する
cooperation	協力
coalition	連立政権
detect	検出する
interior	内部の
alter	変更する
retirement	退職
sensitive	敏感な
reply	返事をする
opposition	反対
export	輸出する
psychologist	心理学者
pension	年金
correspondent	特派員
duty	義務
attach	添付する
personality	性格
fully	完全に
scheme	計画
install	設置する
ingredient	材料
flood	洪水
folk	人々
election	選挙
despite	～にもかかわらず
revolution	革命
promotion	昇進
industrial	産業の
dramatic	劇的な
lean	傾く
exhibition	展示会
compromise	妥協
anxiety	不安
relevant	関連のある
observation	観察
manager	管理者
defeat	敗北させる
surgery	外科手術
reaction	反応
abandon	放棄する
crisis	危機
comfort	快適さ
wise	賢明な
sustain	維持する
hire	雇う
slip	滑る
entirely	完全に
totally	完全に
extensive	広範な
represent	代表する
receive	受け取る
employ	雇用する
hang	吊るす
context	文脈
famous	有名な
assumption	仮定
charge	請求する
civilization	文明
aid	援助
poll	世論調査
scientific	科学的な
pleasure	喜び
dislike	嫌う
environment	環境
girlfriend	ガールフレンド
coast	海岸
evolution	進化
recall	思い出す
agreement	合意
county	郡
nation	国家
negotiate	交渉する
depth	深さ
musician	音楽家
threat	脅威
transform	変える
method	方法
jail	刑務所
university	大学
primitive	原始的な
emerge	現れる
physical	肉体の
false	偽の
highlight	強調する
estimate	推定する
reasonable	妥当な
efficient	効率的な
initiative	主導権
recommendation	推奨
according to	によると
implication	含み
seldom	めったに～ない
pregnant	妊娠している
society	社会
breath	呼吸
employer	雇用主
advertising	広告
equipment	設備
universe	宇宙
addition	追加
visible	見える
opinion	意見
decline	拒否する
male	男性
somehow	何とか
suit	適している
latter	後者
merely	単に
appearance	外観
fairly	かなり
chapter	章
nearby	近くの
settle	解決する
contribute	貢献する
foreign	外国の
extend	拡張する
policy	政策
cope with	対処する
religion	宗教
conclusion	結論
treatment	治療
alternative	代替案
reverse	逆の
former	以前の
victim	犠牲者
distinction	区別
lab	研究所
literary	文学的な
twin	双子
patient	患者
state	状態
forever	永遠に
propose	提案する
pleasant	楽しい
content	内容
order	命令
superior	優れた
pretend	ふりをする
unique	独特の
preparation	準備
afford	余裕がある
congress	議会
nuclear	原子力の
regarding	～に関して
party	政党
finance	財政
financial	財政的な
intelligently	知的に
describe	説明する
operate	操作する
embrace	抱擁する
resistance	抵抗
dozen	1ダース
corridor	廊下
background	背景
strike	ストライキ
educate	教育する
fabric	布
clerk	店員
evidence	証拠
concentrate on	に集中する
funding	資金
extraordinary	並外れた
civilian	一般市民
history	歴史
maintenance	メンテナンス
faith	信仰
alike	同様に
grammar	文法
vehicle	乗り物
remain	残る
benefit from	～から利益を得る
length	長さ
carbon	炭素
useful	便利な
fat	脂肪
provision	規定
subject	主題
region	地域
boundary	境界線
adopt	採用する
wisdom	知恵
express	表現する
brick	レンガ
creation	創造
greet	挨拶する
block	妨げる
escape	脱出する
obtain	得る
gradually	徐々に
obvious	明白な
innocent	無実の
distribution	分配
exactly	正確に
continent	大陸
arms	武器
compound	複合体
public	公共の
awareness	認識
remove	除去する
opponent	敵
neighborhood	近隣
while	一方
council	評議会
suitable	適切な
secretary	秘書
participate	参加する
politics	政治
accurate	正確な
drug	薬物
strange	奇妙な
conventional	従来の
organization	組織
desperate	必死の
moral	道徳的な
intellectual	知的な
emphasis	強調
particularly	特に
founder	創設者
consider	考える
emotional	感情的な
infection	感染症
identify	特定する
demand	要求する
given	与えられた
transition	移行
author	著者
considerable	かなりの
graduate	卒業する
conduct	行う
crowd	群衆
nature	自然
broad	幅広い
physician	医師
persuade	説得する
achievement	成果
witness	目撃する
face	直面する
focus	焦点を当てる
federal	連邦政府の
associate	関連付ける
aim	目標
deficit	赤字
activist	活動家
primary	主要な
joy	喜び
inspector	検査官
actually	実際には
previous	以前の
variation	変化
stupid	愚かな
poverty	貧困
appeal	訴える
substance	物質
regulation	規制
bare	裸の
awake	目が覚めている
suspect	疑う
battery	バッテリー
income	収入
fault	欠点
tissue	組織
stranger	見知らぬ人
expensive	高価な
difference	違い
percentage	割合
own	自分の
brief	短い
useless	役に立たない
predict	予測する
personnel	職員
sudden	突然の
transfer	転勤させる
solid	固体の
mess	混乱
flee	逃げる
drain	排水する
remark	発言
lecture	講義
resolution	決意
desert	砂漠
advocate	提唱する
bet	賭ける
characteristic	特徴
education	教育
whatever	何でも
cause	原因
commitment	約束
supply	供給する
temporary	一時的な
involve	巻き込む
meal	食事
replace	交換する
expression	表現
investor	投資家
humanity	人類
majority	大多数
possess	所有する
contribution	貢献
frequently	頻繁に
shrug	肩をすくめる
operator	オペレーター
slightly	少し
interpretation	解釈
rely	頼る
reduction	削減
whole	全体
purchase	購入する
summit	頂上
hell	地獄
typically	典型的には
admire	称賛する
literature	文学
issue	問題
rent	家賃
widely	広く
satisfaction	満足
worry	心配する
rub	こする
completely	完全に
disappear	消える
inflation	インフレ
maybe	多分
calculate	計算する
determine	決定する
Mexican	メキシコ人の
crop	作物
prosecution	起訴
toe	つま先
seize	押収する
imagination	想像力
governor	知事
curiosity	好奇心
rise	上昇する
tail	尻尾
except	～を除いて
lie	嘘をつく
string	紐
appoint	任命する
military	軍隊
conference	会議
explanation	説明
atmosphere	雰囲気
toward	～に向かって
convenient	便利な
examination	試験
sort	分類する
strongly	強く
fear	恐怖
ability	能力
weight	重さ
exclude	除外する
discipline	規律
share	共有する
potentially	潜在的に
extent	範囲
discussion	議論
settlement	解決
enormous	莫大な
presence	存在
effective	有効な
rapid	急速な
basis	基礎
commander	司令官
radical	急進的な
individual	個人の
journal	ジャーナル
avoid	避ける
stake	賭け金
possibly	おそらく
violence	暴力
likely	可能性が高い
entertainment	娯楽
opposite	反対の
district	地区
domestic	家庭の
pitch	ピッチ
historical	歴史的な
bullet	弾丸
revenue	収益
democracy	民主主義
legislation	法律
breast	胸
actual	実際の
eager	熱心な
possible	可能な
proverb	ことわざ
psychological	心理学的な
refugee	難民
origin	起源
transport	輸送する
notion	概念
initially	当初は
doubt	疑う
sigh	ため息をつく
laboratory	研究所
delight	喜び
shortly	すぐに
universal	普遍的な
surely	確かに
labor	労働
entire	全体の
blood	血液
wonder	疑問に思う
arise	生じる
incorporate	組み込む
mere	単なる
agenda	議題
terror	恐怖
truly	本当に
necessary	必要な
science	科学
favor	好意
recession	不況
aircraft	航空機
prison	刑務所
anniversary	記念日
possibility	可能性
sequence	順序
slight	わずかな
customer	顧客
inform	知らせる
illegal	違法な
investigation	調査
depression	不況
matter	問題
unless	～しない限り
necessity	必要性
supreme	最高の
severe	深刻な
bloody	血なまぐさい
apart	離れて
cast	投げる
airline	航空会社
trading	取引
path	道
appreciate	感謝する
crack	ひび
hesitate	ためらう
contrary	反対の
depending	～次第で
household	世帯
laughter	笑い
teenager	十代
crime	犯罪
frighten	脅かす
quarter	4分の1
mortgage	住宅ローン
indicate	示す
stroke	発作
shortage	不足
explore	探検する
property	財産
freeze	凍る
closely	綿密に
venture	事業
pretty	かなり
account	口座
internal	内部の
edge	端
environmental	環境の
plenty	たくさん
amendment	修正
fiber	繊維
somewhat	いくらか
restriction	制限
